drug_a,drug_b
ALENDRONATE,CALCIUM
ALOGLIPTIN,METFORMIN
AMPHOTERICIN B,POTASSIUM
ARIPIPRAZOLE,ASENAPINE
ASENAPINE,OLANZAPINE
ASENAPINE,RISPERIDONE
ATAZANAVIR,ATORVASTATIN
ATAZANAVIR,LOVASTATIN
ATAZANAVIR,RITONAVIR
ATAZANAVIR,ROSUVASTATIN
ATAZANAVIR,SIMVASTATIN
ATORVASTATIN,CALCIUM
ATORVASTATIN,CLARITHROMYCIN
ATORVASTATIN,COLCHICINE
ATORVASTATIN,CYCLOSPORINE
ATORVASTATIN,DARUNAVIR
ATORVASTATIN,DIGOXIN
ATORVASTATIN,ERYTHROMYCIN
ATORVASTATIN,ETHINYL ESTRADIOL
ATORVASTATIN,FOSAMPRENAVIR
ATORVASTATIN,GEMFIBROZIL
ATORVASTATIN,GLECAPREVIR
ATORVASTATIN,ITRACONAZOLE
ATORVASTATIN,KETOCONAZOLE
ATORVASTATIN,LEDIPASVIR
ATORVASTATIN,LOPINAVIR
ATORVASTATIN,NIACIN
ATORVASTATIN,PIBRENTASVIR
ATORVASTATIN,POSACONAZOLE
ATORVASTATIN,RIFAMPIN
ATORVASTATIN,RITONAVIR
ATORVASTATIN,SIMEPREVIR
ATORVASTATIN,SOFOSBUVIR
ATORVASTATIN,VORICONAZOLE
ATRACURIUM,ISOFLURANE
ATRACURIUM,LITHIUM
ATRACURIUM,MAGNESIUM
ATRACURIUM,SUCCINYLCHOLINE
AMOXICILLIN,AZITHROMYCIN
BEMPEDOIC ACID,CYCLOSPORINE
BEMPEDOIC ACID,EZETIMIBE
BEMPEDOIC ACID,PRAVASTATIN
BEMPEDOIC ACID,SIMVASTATIN
BINIMETINIB,ENCORAFENIB
ARIPIPRAZOLE,BREXPIPRAZOLE
BREXPIPRAZOLE,OLANZAPINE
BREXPIPRAZOLE,RISPERIDONE
BUPIVACAINE,EPINEPHRINE
ALCOHOL,BUPRENORPHINE
BUPRENORPHINE,CYCLOBENZAPRINE
BUPRENORPHINE,LINEZOLID
BUPRENORPHINE,METHYLENE BLUE
BUPRENORPHINE,MIRTAZAPINE
BUPRENORPHINE,NALOXONE
BUPRENORPHINE,NOREPINEPHRINE
BUPRENORPHINE,TRAMADOL
BUPRENORPHINE,TRAZODONE
CABOTEGRAVIR,RILPIVIRINE
ARIPIPRAZOLE,CARIPRAZINE
CARIPRAZINE,OLANZAPINE
CARIPRAZINE,RISPERIDONE
CHLORTHALIDONE,NOREPINEPHRINE
CALCIUM,CINACALCET
AMLODIPINE,CLARITHROMYCIN
